,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.7777777777777778,0.84,0.8076923076923077,0,0,0,0,0.775,0.62,0.6888888888888889,0,0,0,0,0.7115384615384616,0.74,0.7254901960784313,0,0,0,0,0.5423728813559322,0.64,0.5871559633027523,0,0,0,0,0.5909090909090909,0.52,0.5531914893617023,0,0,0,0,0.7647058823529411,0.26,0.3880597014925373,0,0,0,0,0.723404255319149,0.68,0.7010309278350516,0,0,0,0,0.84,0.84,0.8399999999999999,0,0,0,0,0.90625,0.58,0.7073170731707317,0,0,0,0,0.6190476190476191,0.52,0.5652173913043478,0,0,0,0,0.53125,0.68,0.5964912280701754,0,0,0,0,0.7317073170731707,0.6,0.6593406593406594,0,0,0,0,0.5416666666666666,0.78,0.6393442622950819,0,0,0,0,0.328,0.82,0.4685714285714286,0,0,0,0,0.7758620689655172,0.9,0.8333333333333334,0,0,0,0,0.8,0.64,0.7111111111111111,0,0,0,0,0.7692307692307693,0.6,0.6741573033707865,0,0,0,0,0.6190476190476191,0.52,0.5652173913043478,0,0,0,0,0.6190476190476191,0.26,0.36619718309859156,0,0,0,0,0.27586206896551724,0.16,0.20253164556962025,0,0,0,0,0.16666666666666666,0.04,0.06451612903225806,0,0,0,0,0.33620689655172414,0.78,0.46987951807228917,0,0,0,0,0.7894736842105263,0.9,0.8411214953271027,0,0,0,0,0.7446808510638298,0.7,0.7216494845360825,0,0,0,0,0.6091666666666666,0.5990627546733175,0.6091666666666666
1,0.002,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
2,0.004,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
3,0.006,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
4,0.008,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
5,0.01,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
6,0.012,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
7,0.014,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
8,0.016,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
9,0.018000000000000002,0.8103448275862069,0.94,0.8703703703703703,6,10,17,1,0.8085106382978723,0.76,0.7835051546391754,5,12,18,1,0.8604651162790697,0.74,0.7956989247311828,9,0,22,0,0.640625,0.82,0.7192982456140351,9,14,19,1,0.5689655172413793,0.66,0.6111111111111112,3,17,20,1,0.7647058823529411,0.26,0.3880597014925373,0,0,21,0,0.85,0.68,0.7555555555555556,7,0,22,0,0.8775510204081632,0.86,0.8686868686868686,7,6,21,1,0.9666666666666667,0.58,0.725,2,0,23,0,0.65,0.52,0.5777777777777778,2,0,21,0,0.5483870967741935,0.68,0.6071428571428571,2,0,21,0,0.8,0.8,0.8000000000000002,7,16,21,1,0.6949152542372882,0.82,0.7522935779816514,18,5,21,1,0.4489795918367347,0.88,0.5945945945945946,32,5,15,1,0.7704918032786885,0.94,0.8468468468468469,6,9,22,1,0.8260869565217391,0.76,0.7916666666666667,5,11,23,1,0.7894736842105263,0.6,0.6818181818181819,1,0,20,0,0.7428571428571429,0.52,0.6117647058823529,7,0,23,0,0.8125,0.26,0.3939393939393939,5,0,22,0,0.375,0.36,0.3673469387755102,11,30,22,1,0.4857142857142857,0.34,0.4,6,29,23,1,0.375,0.78,0.5064935064935064,20,8,17,1,0.8846153846153846,0.92,0.9019607843137256,7,2,20,1,0.8536585365853658,0.7,0.7692307692307692,6,0,21,0,0.6475,0.6425685511033133,0.6475
