,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0.6666666666666666,0.5714285714285715,0,0,0,0,0.5,0.5,0.5,0,0,0,0,1.0,0.9090909090909091,0.9523809523809523,0,0,0,0,0.6,0.48,0.5333333333333332,0,0,0,0,0.6071428571428571,0.6296296296296297,0.6181818181818182,0,0,0,0,0.8571428571428571,1.0,0.923076923076923,0,0,0,0,0.5,0.25,0.3333333333333333,0,0,0,0,0.6,1.0,0.7499999999999999,0,0,0,0,0.7407407407407407,0.8333333333333334,0.7843137254901961,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.8333333333333334,0.9523809523809523,0.888888888888889,0,0,0,0,0.75,1.0,0.8571428571428571,0,0,0,0,0.5714285714285714,1.0,0.7272727272727273,0,0,0,0,0.6,0.5,0.5454545454545454,0,0,0,0,0.6,0.6,0.6,0,0,0,0,0.72,0.75,0.7346938775510204,0,0,0,0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,0,0,0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0,0,0,0,0.5625,0.8181818181818182,0.6666666666666666,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0.8571428571428571,0.75,0.7999999999999999,0,0,0,0,0.690677966101695,0.5833268097448769,0.690677966101695
1,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0.6666666666666666,0.5714285714285715,0,0,0,0,0.5,0.5,0.5,0,0,0,0,1.0,0.9090909090909091,0.9523809523809523,0,0,0,0,0.6,0.48,0.5333333333333332,0,0,0,0,0.6071428571428571,0.6296296296296297,0.6181818181818182,0,0,0,0,0.8571428571428571,1.0,0.923076923076923,0,0,0,0,0.5,0.25,0.3333333333333333,0,0,0,0,0.6,1.0,0.7499999999999999,0,0,0,0,0.7407407407407407,0.8333333333333334,0.7843137254901961,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.8333333333333334,0.9523809523809523,0.888888888888889,0,0,0,0,0.75,1.0,0.8571428571428571,0,0,0,0,0.5714285714285714,1.0,0.7272727272727273,0,0,0,0,0.6,0.5,0.5454545454545454,0,0,0,0,0.6,0.6,0.6,0,0,0,0,0.72,0.75,0.7346938775510204,0,0,0,0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,0,0,0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0,0,0,0,0.5625,0.8181818181818182,0.6666666666666666,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0.8571428571428571,0.75,0.7999999999999999,0,0,0,0,0.690677966101695,0.5833268097448769,0.690677966101695
2,0.001,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
3,0.002,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
4,0.003,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
5,0.004,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
6,0.005,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
7,0.006,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
8,0.007,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
9,0.008,0.0,0.0,0.0,0,0,0,0,1.0,0.6666666666666666,0.8,2,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.9090909090909091,0.9523809523809523,0,0,24,0,1.0,0.48,0.6486486486486487,8,0,24,0,1.0,0.6296296296296297,0.7727272727272727,11,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,0.25,0.4,1,0,24,0,1.0,1.0,1.0,2,0,24,0,1.0,0.8333333333333334,0.9090909090909091,7,0,24,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.9523809523809523,0.975609756097561,4,0,24,0,1.0,1.0,1.0,1,0,24,0,1.0,1.0,1.0,3,0,24,0,1.0,0.5,0.6666666666666666,2,0,24,0,1.0,0.6,0.7499999999999999,2,0,24,0,1.0,0.75,0.8571428571428571,7,0,24,0,1.0,0.4444444444444444,0.6153846153846153,5,0,24,0,1.0,0.8333333333333334,0.9090909090909091,2,0,24,0,1.0,0.8181818181818182,0.9,7,0,24,0,1.0,1.0,1.0,0,0,24,0,1.0,0.75,0.8571428571428571,1,0,24,0,0.690677966101695,0.5833268097448769,0.690677966101695
